transaccion_id,cliente_id,producto_comprado,cantidad_unidades,monto_total_ars,numero_envio,fecha_compra
5001,109,Auriculares Cancelación Ruido,2,360000,NV-57447-AR,2026-08-04
5002,104,Auriculares Cancelación Ruido,2,360000,NV-21915-AR,2026-08-13
5003,111,Disco Sólido SSD 1TB,1,110000,NV-30033-AR,2026-08-11
5004,105,Disco Sólido SSD 1TB,3,330000,NV-65333-AR,2026-08-10
5005,134,Mouse Óptico Inalámbrico,2,110000,NV-88104-AR,2026-08-08
5006,147,Teclado Mecánico RGB,3,285000,NV-11504-AR,2026-08-11
5007,118,Notebook I7 Pro,3,4350000,NV-80381-AR,2026-08-13
5008,119,Disco Sólido SSD 1TB,3,330000,NV-54587-AR,2026-08-02
5009,147,Mouse Óptico Inalámbrico,1,55000,NV-69470-AR,2026-08-01
5010,112,Placa de Video RTX 4060,2,1360000,NV-75612-AR,2026-08-13
5011,141,Auriculares Cancelación Ruido,1,180000,NV-91959-AR,2026-08-05
5012,124,Auriculares Cancelación Ruido,3,540000,NV-36071-AR,2026-08-03
5013,134,Disco Sólido SSD 1TB,1,110000,NV-80697-AR,2026-08-13
5014,102,Notebook I7 Pro,3,4350000,NV-52487-AR,2026-08-08
5015,104,Notebook I7 Pro,2,2900000,NV-50306-AR,2026-08-04
5016,147,Monitor Gamer 27',3,1260000,NV-20322-AR,2026-08-02
5017,109,Mouse Óptico Inalámbrico,1,55000,NV-79822-AR,2026-08-13
5018,111,Monitor Gamer 27',3,1260000,NV-72296-AR,2026-08-09
5019,114,Teclado Mecánico RGB,3,285000,NV-89507-AR,2026-08-07
5020,120,Auriculares Cancelación Ruido,3,540000,NV-36365-AR,2026-08-12
5021,129,Mouse Óptico Inalámbrico,3,165000,NV-95180-AR,2026-08-06
5022,115,Auriculares Cancelación Ruido,2,360000,NV-25860-AR,2026-08-04
5023,136,Notebook I7 Pro,2,2900000,NV-12757-AR,2026-08-10
5024,105,Monitor Gamer 27',3,1260000,NV-38864-AR,2026-08-01
5025,105,Placa de Video RTX 4060,3,2040000,NV-17716-AR,2026-08-04
5026,116,Notebook I7 Pro,2,2900000,NV-19287-AR,2026-08-09
5027,135,Teclado Mecánico RGB,3,285000,NV-73624-AR,2026-08-04
5028,131,Monitor Gamer 27',3,1260000,NV-84847-AR,2026-08-10
5029,107,Monitor Gamer 27',2,840000,NV-63354-AR,2026-08-04
5030,128,Notebook I7 Pro,3,4350000,NV-66498-AR,2026-08-06
5031,142,Mouse Óptico Inalámbrico,2,110000,NV-17100-AR,2026-08-11
5032,147,Placa de Video RTX 4060,1,680000,NV-17944-AR,2026-08-07
5033,113,Teclado Mecánico RGB,1,95000,NV-42591-AR,2026-08-04
5034,112,Auriculares Cancelación Ruido,2,360000,NV-28373-AR,2026-08-07
5035,105,Teclado Mecánico RGB,2,190000,NV-42742-AR,2026-08-14
5036,142,Mouse Óptico Inalámbrico,3,165000,NV-22833-AR,2026-08-01
5037,116,Auriculares Cancelación Ruido,1,180000,NV-22224-AR,2026-08-13
5038,114,Monitor Gamer 27',2,840000,NV-73653-AR,2026-08-08
5039,125,Disco Sólido SSD 1TB,2,220000,NV-17685-AR,2026-08-03
5040,130,Notebook I7 Pro,2,2900000,NV-44760-AR,2026-08-13
5041,146,Teclado Mecánico RGB,2,190000,NV-82845-AR,2026-08-11
5042,114,Mouse Óptico Inalámbrico,1,55000,NV-34890-AR,2026-08-05
5043,148,Notebook I7 Pro,3,4350000,NV-81066-AR,2026-08-01
5044,131,Teclado Mecánico RGB,1,95000,NV-16572-AR,2026-08-10
5045,133,Auriculares Cancelación Ruido,3,540000,NV-30635-AR,2026-08-01
5046,105,Notebook I7 Pro,1,1450000,NV-18981-AR,2026-08-10
5047,137,Placa de Video RTX 4060,1,680000,NV-62923-AR,2026-08-02
5048,140,Monitor Gamer 27',3,1260000,NV-87924-AR,2026-08-01
5049,137,Notebook I7 Pro,2,2900000,NV-96163-AR,2026-08-10
5050,143,Auriculares Cancelación Ruido,2,360000,NV-44179-AR,2026-08-04
5051,126,Placa de Video RTX 4060,2,1360000,NV-41285-AR,2026-08-05
5052,130,Monitor Gamer 27',3,1260000,NV-94607-AR,2026-08-05
5053,140,Teclado Mecánico RGB,1,95000,NV-11220-AR,2026-08-08
5054,114,Auriculares Cancelación Ruido,1,180000,NV-19602-AR,2026-08-09
5055,105,Auriculares Cancelación Ruido,2,360000,NV-27361-AR,2026-08-06
5056,129,Monitor Gamer 27',2,840000,NV-47353-AR,2026-08-03
5057,142,Disco Sólido SSD 1TB,3,330000,NV-49651-AR,2026-08-10
5058,136,Auriculares Cancelación Ruido,1,180000,NV-97538-AR,2026-08-14
5059,117,Teclado Mecánico RGB,3,285000,NV-23577-AR,2026-08-03
5060,118,Notebook I7 Pro,1,1450000,NV-82512-AR,2026-08-03
5061,122,Teclado Mecánico RGB,3,285000,NV-37607-AR,2026-08-12
5062,117,Monitor Gamer 27',3,1260000,NV-93130-AR,2026-08-14
5063,104,Auriculares Cancelación Ruido,2,360000,NV-42914-AR,2026-08-14
5064,118,Notebook I7 Pro,3,4350000,NV-65518-AR,2026-08-14
5065,109,Notebook I7 Pro,1,1450000,NV-53719-AR,2026-08-13
5066,129,Placa de Video RTX 4060,2,1360000,NV-31178-AR,2026-08-12
5067,101,Auriculares Cancelación Ruido,3,540000,NV-66057-AR,2026-08-09
5068,103,Notebook I7 Pro,1,1450000,NV-29536-AR,2026-08-09
5069,110,Disco Sólido SSD 1TB,2,220000,NV-86350-AR,2026-08-09
5070,124,Mouse Óptico Inalámbrico,1,55000,NV-15482-AR,2026-08-05
5071,144,Disco Sólido SSD 1TB,1,110000,NV-56898-AR,2026-08-04
5072,150,Monitor Gamer 27',3,1260000,NV-23473-AR,2026-08-06
5073,110,Auriculares Cancelación Ruido,2,360000,NV-91351-AR,2026-08-12
5074,102,Monitor Gamer 27',1,420000,NV-33206-AR,2026-08-07
5075,127,Monitor Gamer 27',3,1260000,NV-53540-AR,2026-08-13
5076,111,Disco Sólido SSD 1TB,3,330000,NV-42527-AR,2026-08-05
5077,103,Disco Sólido SSD 1TB,3,330000,NV-24168-AR,2026-08-07
5078,130,Disco Sólido SSD 1TB,2,220000,NV-39154-AR,2026-08-04
5079,102,Teclado Mecánico RGB,2,190000,NV-39831-AR,2026-08-04
5080,118,Placa de Video RTX 4060,1,680000,NV-62227-AR,2026-08-06
5081,142,Disco Sólido SSD 1TB,1,110000,NV-46585-AR,2026-08-06
5082,135,Auriculares Cancelación Ruido,2,360000,NV-99065-AR,2026-08-14
5083,112,Teclado Mecánico RGB,1,95000,NV-25118-AR,2026-08-05
5084,139,Auriculares Cancelación Ruido,2,360000,NV-15014-AR,2026-08-02
5085,139,Mouse Óptico Inalámbrico,2,110000,NV-51114-AR,2026-08-07
5086,113,Auriculares Cancelación Ruido,1,180000,NV-60488-AR,2026-08-10
5087,134,Teclado Mecánico RGB,1,95000,NV-67154-AR,2026-08-01
5088,124,Disco Sólido SSD 1TB,3,330000,NV-97900-AR,2026-08-04
5089,140,Mouse Óptico Inalámbrico,1,55000,NV-97062-AR,2026-08-06
5090,120,Teclado Mecánico RGB,3,285000,NV-26334-AR,2026-08-12
5091,121,Auriculares Cancelación Ruido,2,360000,NV-97410-AR,2026-08-07
5092,109,Mouse Óptico Inalámbrico,3,165000,NV-48752-AR,2026-08-09
5093,144,Monitor Gamer 27',2,840000,NV-97153-AR,2026-08-07
5094,120,Placa de Video RTX 4060,1,680000,NV-90676-AR,2026-08-10
