cliente_id,nombre_cliente,provincia,es_vip
101,Cliente Anónimo 101,Córdoba,0
102,Cliente Anónimo 102,Tucumán,0
103,Cliente Anónimo 103,Mendoza,0
104,Cliente Anónimo 104,Córdoba,0
105,Cliente Anónimo 105,Entre Ríos,1
106,Cliente Anónimo 106,Buenos Aires,0
107,Cliente Anónimo 107,Córdoba,0
108,Cliente Anónimo 108,Mendoza,0
109,Cliente Anónimo 109,Río Negro,0
110,Cliente Anónimo 110,Río Negro,1
111,Cliente Anónimo 111,Mendoza,1
112,Cliente Anónimo 112,Entre Ríos,0
113,Cliente Anónimo 113,Buenos Aires,0
114,Cliente Anónimo 114,Chaco,0
115,Cliente Anónimo 115,Tucumán,0
116,Cliente Anónimo 116,Mendoza,0
117,Cliente Anónimo 117,Córdoba,0
118,Cliente Anónimo 118,Chaco,0
119,Cliente Anónimo 119,Salta,0
120,Cliente Anónimo 120,Entre Ríos,0
121,Cliente Anónimo 121,Buenos Aires,1
122,Cliente Anónimo 122,Río Negro,0
123,Cliente Anónimo 123,Chaco,0
124,Cliente Anónimo 124,Río Negro,0
125,Cliente Anónimo 125,Entre Ríos,0
126,Cliente Anónimo 126,Entre Ríos,0
127,Cliente Anónimo 127,Córdoba,0
128,Cliente Anónimo 128,Mendoza,0
129,Cliente Anónimo 129,Córdoba,0
130,Cliente Anónimo 130,Córdoba,1
131,Cliente Anónimo 131,Tucumán,1
132,Cliente Anónimo 132,Salta,0
133,Cliente Anónimo 133,Salta,0
134,Cliente Anónimo 134,Mendoza,0
135,Cliente Anónimo 135,Córdoba,0
136,Cliente Anónimo 136,Río Negro,0
137,Cliente Anónimo 137,Santa Fe,1
138,Cliente Anónimo 138,Chaco,0
139,Cliente Anónimo 139,Río Negro,0
140,Cliente Anónimo 140,Salta,0
141,Cliente Anónimo 141,Mendoza,0
142,Cliente Anónimo 142,Salta,1
143,Cliente Anónimo 143,Tucumán,0
144,Cliente Anónimo 144,Mendoza,0
145,Cliente Anónimo 145,Mendoza,1
146,Cliente Anónimo 146,Chaco,1
147,Cliente Anónimo 147,Santa Fe,0
148,Cliente Anónimo 148,Santa Fe,0
149,Cliente Anónimo 149,Río Negro,0
150,Cliente Anónimo 150,Entre Ríos,1
